_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,Prediction
46,a1016,b1046,Call of Duty: Black Ops Declassified,Nihilistic,Activision|Square Enix,PlayStation Vita,Action|First-Person|Shooter|3D,4.9,13 Nov 2012,2012-11-13,Call of Duty: Black Ops: Declassified,nStigate Games,Activision,PlayStation Vita,First-Person|Shooter,4.5,13 November 2012,2012-11-13,1.0
58,a1017,b1047,Call of Duty: Black Ops II,Treyarch,Activision|Square Enix,PC|PlayStation 3|Wii U|Xbox 360,Shooter|3D|Action|First-Person,7.0,12 Nov 2012,2012-11-12,Call of Duty: Black Ops II,Treyarch,Activision,PC|PlayStation 3|Wii U|Xbox 360|Xbox One,First-Person|Shooter,7.5,13 November 2012,2012-11-13,1.0
66,a1018,b1048,Call of Duty: Black Ops 3,Treyarch|Beenox,Activision|SCEI|Sony Interactive Entertainment|Microsoft Game Studios,PC|PlayStation 3|PlayStation 4|Xbox 360|Xbox One,First-Person|Shooter|3D|Action,6.2,5 Nov 2015,2015-11-05,Call of Duty: Black Ops III,Treyarch,Activision,PC|PlayStation 4|Xbox One,First-Person|Shooter,6.9,06 November 2015,2015-11-06,1.0
74,a1019,b1045,Call of Duty: Black Ops,n-Space|Treyarch,Activision|Aspyr|Square Enix,DS|Macintosh|PC|PlayStation 3|Wii|Xbox 360,Action|First-Person|Shooter|3D,8.0,9 Nov 2010,2010-11-09,Call of Duty: Black Ops,Treyarch,Activision,Nintendo DS|PC|PlayStation 3|Wii|Xbox 360|Xbox One,First-Person|Action|Shooter,7.5,09 November 2010,2010-11-09,1.0
89,a1020,b1053,Call of Duty: Finest Hour,Exakt|Spark Unlimited,Activision|Capcom,GameCube|PlayStation 2|Xbox,3D|Action|First-Person|Shooter,7.6,16 Nov 2004,2004-11-16,Call of Duty: Finest Hour,Spark Unlimited,Activision,Nintendo GameCube|PlayStation 2|Xbox,First-person shooter,6.3,16 November 2004,2004-11-16,1.0
100,a1021,b1054,Call of Duty: Ghosts,Infinity Ward|Treyarch,Activision|Square Enix,PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,Action|First-Person|Shooter|3D,5.8,5 Nov 2013,2013-11-05,Call of Duty: Ghosts,Infinity Ward|Treyarch|Raven Software|Certain Affinity|Neversoft,Activision|Square Enix,PC|PlayStation 3|PlayStation 4|Wii U|Xbox 360|Xbox One,First-Person|Shooter,6.8,05 November 2013,2013-11-05,1.0
109,a1022,b1056,Call of Duty: Infinite Warfare,Infinity Ward,Activision|Sony Interactive Entertainment,PC|PlayStation 4|Xbox One,First-Person|Shooter|Tactical|Action,6.4,4 Nov 2016,2016-11-04,Call of Duty: Infinite Warfare,Infinity Ward,Activision,PC|PlayStation 4|Xbox One,First-Person|Shooter,7.3,04 November 2016,2016-11-04,1.0
112,a1022,b1062,Call of Duty: Infinite Warfare,Infinity Ward,Activision|Sony Interactive Entertainment,PC|PlayStation 4|Xbox One,First-Person|Shooter|Tactical|Action,6.4,4 Nov 2016,2016-11-04,Call of Duty: Modern Warfare - Remastered,,Activision,PC|PlayStation 4|Xbox One,First-Person|Shooter,8.1,04 November 2016,2016-11-04,1.0
121,a1023,b1057,Call of Duty: Modern Warfare 2,Aspyr|Infinity Ward,Aspyr|Activision|Square Enix,Macintosh|PC|PlayStation 3|Xbox 360,3D|Action|First-Person|Shooter,8.3,10 Nov 2009,2009-11-10,Call of Duty: Modern Warfare 2,Infinity Ward,Activision,Mac|PC|PlayStation 3|Xbox 360,First-Person|Action|Shooter,7.9,10 November 2009,2009-11-10,1.0
142,a1025,b1059,Call of Duty: Modern Warfare 3,Aspyr|Infinity Ward|Sledgehammer Games|Treyarch,Aspyr|Activision|Square Enix,Macintosh|PC|PlayStation 3|Wii|Xbox 360,Shooter|3D|Action|First-Person,7.2,8 Nov 2011,2011-11-08,Call of Duty: Modern Warfare 3,Infinity Ward|Sledgehammer Games|Raven Software,Activision,PC|PlayStation 3|Wii|Xbox 360,First-Person|Shooter,7.3,08 November 2011,2011-11-08,1.0
155,a1026,b1066,Call of Duty: World at War,n-Space|Treyarch|Exakt,Activision,DS|PC|PlayStation 3|Wii|Xbox 360,3D|Action|First-Person|Shooter,8.4,10 Nov 2008,2008-11-10,Call of Duty: World at War,Treyarch,Activision,Nintendo DS|PC|PlayStation 2|PlayStation 3|Wii|Xbox 360|Xbox One,First-Person|Action|Shooter,7.5,11 November 2008,2008-11-11,1.0
162,a1027,b1065,Call of Duty: WWII,Sledgehammer Games,Activision|Sony Interactive Entertainment,PC|PlayStation 4|Xbox One,First-Person|Shooter|3D|Action,6.3,3 Nov 2017,2017-11-03,Call of Duty: WWII,Sledgehammer Games,Activision,PC|PlayStation 4|Xbox One,First-Person|Shooter,7.4,03 November 2017,2017-11-03,1.0
163,a1028,b1038,Call of Duty,Gray Matter|Infinity Ward|Nokia,Aspyr|Activision|MediaQuest|ak tronic,Macintosh|N-Gage|PC|PlayStation 3|Xbox 360,First-Person|Shooter|3D|Action,9.0,29 Oct 2003,2003-10-29,Call of Duty,Infinity Ward,Activision,Mac|Nintendo GameCube|PC|PlayStation 2|PlayStation 3|Xbox 360,First-Person|Shooter,8.1,29 October 2003,2003-10-29,1.0
168,a1029,b1069,Call of Juarez: Bound in Blood,Techland,Ubisoft|Mastertronic|Rondomedia,PC|PlayStation 3|Xbox 360,Shooter|3D|Action|First-Person,8.2,30 Jun 2009,2009-06-30,Call of Juarez: Bound in Blood,Techland,Ubisoft,PC|PlayStation 3|Xbox 360,First-Person|Shooter,7.4,30 June 2009,2009-06-30,1.0
174,a1030,b1070,Call of Juarez: Gunslinger,Techland,Ubisoft,PC|PlayStation 3|Xbox 360,3D|Action|First-Person|Shooter,8.0,14 May 2013,2013-05-14,Call of Juarez: Gunslinger,Techland,Ubisoft,PC|PlayStation 3|Xbox 360,First-Person|Shooter,7.9,21 May 2013,2013-05-21,1.0
177,a1031,b1071,Call of Juarez: The Cartel,Ubisoft|Techland,Ubisoft|E-Frontier,PC|PlayStation 3|Xbox 360,Action|First-Person|Shooter|3D,5.5,19 Jul 2011,2011-07-19,Call of Juarez: The Cartel,Techland,Ubisoft,PC|PlayStation 3|Xbox 360,First-person shooter,5.0,19 July 2011,2011-07-19,1.0
179,a1032,b1068,Call of Juarez,Techland,Ubisoft|Techland|Focus Multimedia|Ascaron Entertainment GmbH|ak tronic,PC|Xbox 360,Shooter|3D|Action|First-Person,7.6,7 Jun 2007,2007-06-07,Call of Juarez,Techland,Ubisoft|Focus Home Interactive|Ascaron,PC|Xbox 360,First-Person|Shooter,7.4,12 June 2007,2007-06-12,1.0
183,a1036,b1079,Cannon Brawl,Turtle Sandbox LLC,Turtle Sandbox LLC|BlitWorks,Linux|Macintosh|PC|PlayStation 4|Xbox One,Strategy|Real-Time,6.9,30 Jul 2013,2013-07-30,Cannon Brawl,Turtle Sandbox,,PC,Action|Strategy,6.5,30 July 2013,2013-07-30,1.0
184,a1037,b1081,Cannon Spike,Psikyo,Capcom,Arcade Games|Dreamcast,Shoot-'Em-Up|Action|2D,7.7,14 Nov 2000,2000-11-14,Cannon Spike,Psikyo,Capcom,Dreamcast,Multidirectional|Shooter,7.5,14 November 2000,2000-11-14,1.0
195,a1042,b1082,Capcom Fighting Evolution,Capcom,Capcom|SCEA,Arcade Games|PlayStation 2|Xbox,Action|2D|Fighting,6.9,24 Oct 2004,2004-10-24,Capcom Fighting Evolution,Capcom Production Studio 2,Capcom,PlayStation 2|Xbox,Fighting,5.6,16 November 2004,2004-11-16,1.0
198,a1045,b1085,Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom|Klein Computer Entertainment,Capcom,Arcade Games|Dreamcast|PlayStation,2D|Action|Fighting,7.8,14 Aug 2002,2002-08-14,Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom Production Studio 1,Capcom,Arcade|Dreamcast|PlayStation,Fighting,8.0,14 August 2002,2002-08-14,1.0
199,a1049,b1086,Capsized,Alientrap|Koolhaus Games,Alientrap|Namco Bandai Games,Linux|Macintosh|PC|Xbox 360,Platformer|2D|Action,7.6,29 Apr 2011,2011-04-29,Capsized,Alientrap Games,Alientrap Games,Linux|PC,Action,6.5,29 April 2011,2011-04-29,1.0
200,a105,b157,ActRaiser,Quintet,Enix America|Inc.|Nintendo|Square Enix|Enix Corporation,Super Nintendo,3D|Action|Adventure|Open-World,8.4,November 1991,1991-11-01,ActRaiser,Quintet,Enix|Square Enix,Super Nintendo|Wii,Action|City-Building|Simulation,8.0,November 1991,1991-11-01,1.0
201,a1050,b1088,Captain America: Super Soldier,High Voltage Software|Sega Europe|Next Level Games,Sega,3DS|DS|PlayStation 3|Wii|Xbox 360,Action,7.3,19 Jul 2011,2011-07-19,Captain America: Super Soldier,Next Level Games|High Voltage Software (Wii),Sega,PlayStation 3|Xbox 360,Action|Beat 'em Up,6.7,15 July 2011,2011-07-15,1.0
204,a1051,b1092,Captain Toad: Treasure Tracker,Nintendo EAD Tokyo,Nintendo,3DS|Nintendo Switch|Wii U,3D|Action|Platformer,8.1,5 Dec 2014,2014-12-05,Captain Toad: Treasure Tracker,Nintendo EAD Tokyo,Nintendo,Wii U,Platform|Puzzle,8.0,05 December 2014,2014-12-05,1.0
207,a1055,b1095,Carcassonne,Sierra Online|Exozet Games GmbH,Deep Silver|Sierra Online|Microsoft Game Studios,DS|Windows Mobile|Xbox 360,Trivia/Board Game,7.7,27 Jun 2007,2007-06-27,Carcassonne,Sierra Online,Sierra Online,Xbox 360,Turn-Based|Strategy,6.9,27 June 2007,2007-06-27,1.0
208,a1057,b1099,Cargo! The Quest for Gravity,Ice-pick Lodge,bitComposer Games|Viva Media|LLC,PC,Action|Adventure,6.5,21 Apr 2011,2011-04-21,Cargo! - The Quest for Gravity,Ice-Pick Lodge Studio,bitComposer Games|Viva Media,PC,Action|Adventure,7.0,21 April 2011,2011-04-21,1.0
210,a1059,b1104,Carmageddon 3: TDR 2000,Torus Games,SCi|Xicat Interactive|Stainless Games,PC,Simulation,7.0,14 Dec 2000,2000-12-14,Carmageddon TDR 2000,Torus Games,SCi|Xicat Interactive,PC,Car Combat,6.5,14 December 2000,2000-12-14,1.0
212,a1060,b1100,Carmageddon,Stainless Games|Aqua Pacific|Software Creations,Stainless Games|SCi|Titus Software|GT Interactive|Interplay|Ubisoft,Android|Game Boy Color|iOS (iPhone/iPad)|Nintendo 64|PC|PlayStation,Simulation,7.8,30 Jun 1997,1997-06-30,Carmageddon,Stainless Games,SCi|Interplay,Android|PC,Vehicular combat,7.9,30 June 1997,1997-06-30,1.0
218,a1076,b1111,Cartoon Network: Punch Time Explosion,Papaya Studios,Deep Silver|Crave|OG International Ltd|Papaya Studios|Little Orbit,3DS|PlayStation 3|Wii|Xbox 360,2D|Fighting|Action,6.6,2 Jun 2011,2011-06-02,Cartoon Network: Punch Time Explosion,Papaya Studio,Crave Entertainment (US)|Deep Silver (UK),PlayStation 3|Xbox 360,Fighting,5.7,02 June 2011,2011-06-02,1.0
220,a1085,b1114,Castle Crashers,The Behemoth,The Behemoth|Microsoft Game Studios,Macintosh|PC|PlayStation 3|Xbox 360|Xbox One,2D|Action|Beat-'Em-Up,8.7,27 Aug 2008,2008-08-27,Castle Crashers,The Behemoth,The Behemoth,Mac|PC|PlayStation 3|Xbox 360|Xbox One,Action|Beat 'em Up|Role-Playing,7.8,27 August 2008,2008-08-27,1.0
221,a1088,b1113,CastleStorm,Zen Studios,Zen Studios|Spike Chunsoft|Microsoft Game Studios,PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox 360|Xbox One,Strategy,7.1,29 May 2013,2013-05-29,CastleStorm,Zen Studios,Zen Studios,PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Action|Strategy,7.1,29 July 2013,2013-07-29,1.0
222,a1089,b1119,Castlevania: Aria of Sorrow,KCET|The Code Monkeys,Konami|Konami Mobile & Online|Inc.,Game Boy Advance|Mobile,Role-Playing|Action,9.0,6 May 2003,2003-05-06,Castlevania: Aria of Sorrow,Konami Computer Entertainment Tokyo,Konami,Emulated|Game Boy Advance|Nintendo DS|PC|Wii U,Action|Adventure,8.6,06 May 2003,2003-05-06,1.0
225,a1090,b1121,Castlevania Chronicles,Konami,Konami|SCEA,PlayStation|Sharp X68000,2D|Platformer|Action,7.2,8 Oct 2001,2001-10-08,Castlevania Chronicles,Konami Computer Entertainment Tokyo,Konami,PlayStation,Platforming,7.0,08 October 2001,2001-10-08,1.0
233,a1091,b1122,Castlevania: Circle of the Moon,KCEK,Konami,Game Boy Advance,Role-Playing|Action,8.9,10 Jun 2001,2001-06-10,Castlevania: Circle of the Moon,Konami Computer Entertainment Kobe,Konami,Emulated|Game Boy Advance|Nintendo DS|PC|Wii U,Action|Adventure,7.7,11 June 2001,2001-06-11,1.0
234,a1092,b1123,Castlevania: Curse of Darkness,Konami,Konami,PlayStation 2|Xbox,Action|Adventure,8.0,1 Nov 2005,2005-11-01,Castlevania: Curse of Darkness,Konami,Konami,PlayStation 2|Xbox,Action|Adventure,7.5,05 November 2005,2005-11-05,1.0
238,a1093,b1124,Castlevania: Dawn of Sorrow,Konami,Konami,DS|Mobile,Role-Playing|Action,9.1,4 Oct 2005,2005-10-04,Castlevania: Dawn of Sorrow,Konami,Konami,Emulated|Game Boy Advance|Nintendo 3DS|Nintendo DS,Action|Adventure,8.3,04 October 2005,2005-10-04,1.0
241,a1094,b1126,Castlevania: Harmony of Despair,Konami,Konami,PlayStation 3|Xbox 360,Adventure|Action,7.8,4 Aug 2010,2010-08-04,Castlevania: Harmony of Despair,Konami,Konami,PlayStation 3|Xbox 360,Action-adventure,7.0,04 August 2010,2010-08-04,1.0
249,a1095,b1127,Castlevania: Harmony of Dissonance,KCET,Konami,Game Boy Advance,Role-Playing|Action,8.4,16 Sep 2002,2002-09-16,Castlevania: Harmony of Dissonance,Konami TYO,Konami,Emulated|Game Boy Advance|Nintendo DS|Wii U,Action|Adventure,7.6,16 September 2002,2002-09-16,1.0
250,a1096,b1130,Castlevania II: Simon's Quest,Konami,Konami,Famicom Disk System|NES,Action|Adventure,7.9,December 1988,1988-12-01,Castlevania II: Simon's Quest,Konami,Konami,Emulated|NES|Nintendo 3DS|Wii|Wii U,Action|Adventure|Role-Playing,7.1,01 December 1988,1988-12-01,1.0
252,a1097,b1131,Castlevania Judgment,Eighting,Konami,Wii,3D|Action|Fighting,6.5,18 Nov 2008,2008-11-18,Castlevania Judgment,Konami|Eighting,Konami,Wii,Fighting,6.8,18 November 2008,2008-11-18,1.0
255,a1098,b1132,Castlevania: Lament of Innocence,KCET,Konami|SCEA,PlayStation 2,Adventure|Action,8.0,21 Oct 2003,2003-10-21,Castlevania: Lament of Innocence,Konami,Konami,PlayStation 2,Action|Adventure,7.3,21 October 2003,2003-10-21,1.0
257,a1099,b1133,Castlevania: Legacy of Darkness,KCEK,Konami,Nintendo 64,3D|Platformer|Action,7.8,30 Nov 1999,1999-11-30,Castlevania: Legacy of Darkness,Konami Computer Entertainment Kobe,Konami,Nintendo 64,Action-adventure|platforming,6.7,30 November 1999,1999-11-30,1.0
261,a11,b7651,007: Tomorrow Never Dies,Black Ops Entertainment,MGM Interactive|EA Games|Electronic Arts|Electronic Arts Victor,PlayStation,Third-Person|3D|Action|Shooter,6.3,16 Nov 1999,1999-11-16,Tomorrow Never Dies,Black Ops,Electronic Arts|MGM Interactive,PlayStation,,5.6,16 November 1999,1999-11-16,1.0
262,a1100,b1136,Castlevania: Lords of Shadow 2,Mercury Steam,Konami,PC|PlayStation 3|Xbox 360,Action|Adventure,7.5,25 Feb 2014,2014-02-25,Castlevania: Lords of Shadow 2,MercurySteam,Konami,PC|PlayStation 3|Xbox 360,Action|Adventure,7.0,25 February 2014,2014-02-25,1.0
269,a1101,b1138,Castlevania: Lords of Shadow - Mirror of Fate,Mercury Steam,Konami,3DS|PC|PlayStation 3|Xbox 360,Action|Adventure,7.2,5 Mar 2013,2013-03-05,Castlevania: Lords of Shadow - Mirror of Fate,MercurySteam,Konami,Nintendo 2DS|Nintendo 3DS|PC|Xbox 360,Action|Adventure,7.6,05 March 2013,2013-03-05,1.0
270,a1101,b1139,Castlevania: Lords of Shadow - Mirror of Fate,Mercury Steam,Konami,3DS|PC|PlayStation 3|Xbox 360,Action|Adventure,7.2,5 Mar 2013,2013-03-05,Castlevania: Lords of Shadow - Mirror of Fate HD,Mercury Steam Entertainment,Konami Digital Entertainment,PC|PlayStation 3|Xbox 360,Action|Adventure,7.4,25 October 2013,2013-10-25,1.0
273,a1102,b1135,Castlevania: Lords of Shadow,Mercury Steam,Konami,PC|PlayStation 3|Xbox 360,Action|Adventure,8.3,5 Oct 2010,2010-10-05,Castlevania: Lords of Shadow,MercurySteam|Kojima Productions|Climax Studios,Konami,PC|PlayStation 3|Xbox 360,Action|Adventure,8.0,05 October 2010,2010-10-05,1.0
279,a1103,b1144,Castlevania: Order of Ecclesia,Konami,Konami,DS,Role-Playing|Action,8.7,21 Oct 2008,2008-10-21,Castlevania: Order of Ecclesia,Konami,Konami,Nintendo 2DS|Nintendo 3DS|Nintendo DS,Action|Adventure,8.5,21 October 2008,2008-10-21,1.0
281,a1104,b1145,Castlevania: Portrait of Ruin,Konami,Konami,DS,Role-Playing|Action,8.7,5 Dec 2006,2006-12-05,Castlevania: Portrait of Ruin,Konami,Konami,Nintendo 2DS|Nintendo 3DS|Nintendo DS,Action|Adventure,8.0,05 December 2006,2006-12-05,1.0
283,a1105,b1147,Castlevania: Symphony of the Night,Konami|Konami Computer Entertainment Nagoya|Digital Eclipse,Konami|SCEA,PlayStation|Saturn|Xbox 360,Action|Role-Playing,9.2,2 Oct 1997,1997-10-02,Castlevania: Symphony of the Night,KCE Tokyo,Konami,Emulated|PC|PlayStation|PlayStation 2|PlayStation 3|PlayStation Vita|PSP|Sega Saturn|Xbox 360,Action|Adventure|Role-Playing,9.2,02 October 1997,1997-10-02,1.0
286,a1106,b1150,Castlevania: The Dracula X Chronicles,Konami,Konami,PSP,Compilation,8.3,23 Oct 2007,2007-10-23,Castlevania: The Dracula X Chronicles,Konami,Konami,Emulated|PlayStation Vita|PSP,Platforming,7.6,23 October 2007,2007-10-23,1.0
290,a1107,b1118,Castlevania,Novotrade|Konami|Unlimited Software Inc.|Upstart Games,Konami|Nintendo|Konami Mobile & Online|Inc.,Amiga|Arcade Games|Commodore 64|Famicom Disk System|Game Boy Advance|Mobile|MSX|NES|PC,Platformer|2D|Action,8.1,May 1987,1987-05-01,Castlevania,Konami,Konami|Nintendo,Emulated|Game Boy Advance|NES|Nintendo 3DS|PC|Wii|Wii U,Action,7.8,01 May 1987,1987-05-01,1.0
294,a1111,b1152,Catherine,ATLUS,ATLUS|Deep Silver,PlayStation 3|PlayStation 4|PlayStation Vita|Xbox 360,3D|Action|Adventure|Survival,8.2,26 Jul 2011,2011-07-26,Catherine,Atlus|Persona Team,Atlus,PC|PlayStation 3|PlayStation Now|Xbox 360|Xbox One,Adventure|Platform|Puzzle|Survival Horror,8.3,26 July 2011,2011-07-26,1.0
300,a1116,b1156,Cel Damage,Pseudo Interactive|Finish Line Games,Electronic Arts|Play It!|System 3|Finish Line Games,GameCube|PlayStation 2|PlayStation 3|PlayStation 4|PlayStation Vita|Xbox|Xbox One,Simulation,7.1,14 Nov 2001,2001-11-14,Cel Damage,Pseudo Interactive,Electronic Arts,Nintendo GameCube|PlayStation 2|PlayStation 3|PlayStation 4|Xbox|Xbox One,Car Combat,7.0,15 November 2001,2001-11-15,1.0
301,a1117,b1157,Celeste,Matt Makes Games Inc.,Matt Makes Games Inc.,Linux|Macintosh|Nintendo Switch|PC|PlayStation 4|Xbox One,Platformer|2D|Action,7.8,25 Jan 2018,2018-01-25,Celeste (2018),Matt Makes Games,Matt Makes Games,Nintendo Switch|PC|PlayStation 4|Xbox One,Action|Platform,9.1,25 January 2018,2018-01-25,1.0
303,a112,b172,Advance Wars 2: Black Hole Rising,Intelligent Systems,Nintendo,Game Boy Advance,Turn-Based|Strategy,9.0,24 Jun 2003,2003-06-24,Advance Wars 2: Black Hole Rising,Intelligent Systems,Nintendo,Game Boy Advance|Wii U,Turn-based tactics,8.3,23 June 2003,2003-06-23,1.0
307,a1126,b1163,Chameleon Twist,Japan System Supply,SunSoft|Japan System Supply,Nintendo 64,3D|Platformer|Action,6.2,30 Nov 1997,1997-11-30,Chameleon Twist,Japan System Supply,Sunsoft,Nintendo 64,Platformer,5.1,30 November 1997,1997-11-30,1.0
309,a1128,b1165,Champions of Norrath,Snowblind Studios,Sony Online Entertainment,PlayStation 2,Action|Role-Playing,8.5,10 Feb 2004,2004-02-10,Champions of Norrath,Snowblind Studios,Sony Online Entertainment,PlayStation 2,Role-Playing,8.1,10 February 2004,2004-02-10,1.0
311,a113,b173,Advance Wars: Days of Ruin,Intelligent Systems,Nintendo,DS,Strategy|Turn-Based,8.6,21 Jan 2008,2008-01-21,Advance Wars: Days of Ruin,Intelligent Systems,Nintendo,Nintendo DS,Turn-Based|Tactical,7.8,21 January 2008,2008-01-21,1.0
313,a1130,b1164,Champions: Return to Arms,Snowblind Studios,Sony Online Entertainment,PlayStation 2,Action|Role-Playing,8.5,7 Feb 2005,2005-02-07,Champions: Return to Arms,Snowblind Studios,Sony Online Entertainment,PlayStation 2,Action|Role-Playing,7.9,07 February 2005,2005-02-07,1.0
318,a114,b174,Advance Wars: Dual Strike,Intelligent Systems,Nintendo,DS,Strategy|Turn-Based,9.1,22 Aug 2005,2005-08-22,Advance Wars: Dual Strike,Intelligent Systems,Nintendo,Nintendo 3DS|Nintendo DS,Turn-Based|Tactical,8.1,22 August 2005,2005-08-22,1.0
319,a1140,b1168,Chaos Legion,Capcom,Capcom,PC|PlayStation 2,Adventure|Action,7.3,6 Aug 2003,2003-08-06,Chaos Legion,Capcom Production Studio 6,Capcom,PC|PlayStation 2,Action-adventure|Action RPG,6.6,05 August 2003,2003-08-05,1.0
320,a1141,b1172,Chaos on Deponia,Daedalic Entertainment,Daedalic Entertainment|Merge Games,Linux|Macintosh|PC|PlayStation 4|Xbox One,Adventure,8.1,6 Nov 2012,2012-11-06,Chaos on Deponia,Daedalic Entertainment,Daedalic Entertainment,Linux|Mac|PC,Adventure,8.1,06 November 2012,2012-11-06,1.0
323,a1142,b1169,Chaos Rings,Square Enix|Media Vision,Square Enix,Android|iOS (iPhone/iPad)|PlayStation Vita|Windows Mobile,Role-Playing,8.2,20 Apr 2010,2010-04-20,Chaos Rings,Media.Vision,Square Enix,Android|iOS|Mobile|PlayStation Vita,Role-playing,7.8,20 April 2010,2010-04-20,1.0
324,a1147,b1174,Charlie Murder,Ska Studios,Ska Studios|Microsoft Game Studios,Linux|Macintosh|PC|Xbox 360,Beat-'Em-Up|2D|Action,7.5,14 Aug 2013,2013-08-14,Charlie Murder,Ska Studios,,Xbox 360,Fighting|Platform,7.6,14 August 2013,2013-08-14,1.0
325,a115,b171,Advance Wars,Intelligent Systems,Nintendo,Game Boy Advance,Turn-Based|Strategy,9.0,9 Sep 2001,2001-09-09,Advance Wars,Intelligent Systems,Nintendo,Emulated|Game Boy Advance|Wii U,Turn-based tactics,8.2,10 September 2001,2001-09-10,1.0
