_id,ltable_ID,rtable_ID,ltable_Title,ltable_Developer,ltable_Publisher,ltable_Platform,ltable_Genre,ltable_Rating,ltable_ReleaseDate,ltable_CleanRDate,rtable_Title,rtable_Developer,rtable_Publisher,rtable_Platform,rtable_Genre,rtable_Rating,rtable_ReleaseDate,rtable_CleanRDate,gold_label
222687,a1975,b1979,Dragon Ball Z: Budokai Tenkaichi,Spike,Bandai|Atari SA,PlayStation 2,Action|3D|Fighting,8.6,18 Oct 2005,2005-10-18,Dragon Ball: Advanced Adventure,Dimps,Banpresto|Atari,Emulated|Game Boy Advance,Beat,7.7,06 June 2006,2006-06-06,0
224278,a1965,b1984,Dragon Ball: Origins,Game Republic,Atari SA|Bandai Namco Games|Namco Bandai Games|Bandai,DS,Action|Adventure,8.3,4 Nov 2008,2008-11-04,Dragon Ball: Origins,Game Republic,Bandai|Atari,Nintendo DS,Action|Adventure,5.8,04 November 2008,2008-11-04,1
235522,a1995,b2019,Dragon Dice,Interplay,Interplay,PC,Strategy,5.8,30 Jun 1997,1997-06-30,Dragon Fantasy,Muteki Corporation,,PlayStation 3|PlayStation Vita,Role-Playing,6.8,,,0
240583,a2001,b2032,Dragon Quest Heroes: Rocket Slime,TOSE|Square Enix,Square Enix,DS,Adventure|Action,8.4,19 Sep 2006,2006-09-19,Dragon Quest VIII: Journey of the Cursed King,Level-5,Square Enix,iOS|Nintendo 3DS|PlayStation 2,Role-Playing,8.7,15 November 2005,2005-11-15,0
276712,a2520,b2386,FIFA Soccer 10,Electronic Arts|Exient Entertainment|EA Sports|HB Studios Multimedia,Electronic Arts|EA Sports,BlackBerry|DS|iOS (iPhone/iPad)|PC|PlayStation 2|PlayStation 3|PSP|Wii|Xbox 360,Simulation|Soccer|Sports|Team-Based,7.5,28 Sep 2009,2009-09-28,FIFA 2000,EA Canada,Electronic Arts,PC|PlayStation,Sports,7.2,,,0
310049,a2610,b2651,Fire Emblem Heroes,Intelligent Systems,Nintendo,Android|iOS (iPhone/iPad),Strategy|Turn-Based,5.2,2 Feb 2017,2017-02-02,Flat Heroes,Parallel Circles,Parallel Circles,PC,Action,6.5,08 September 2016,2016-09-08,0
329118,a2428,b2834,Faces of War,Best Way,Ubisoft|1C|Mastertronic,PC,Strategy|Real-Time,7.8,12 Sep 2006,2006-09-12,Gears of War,Epic Games,Microsoft Game Studios,PC|Xbox|Xbox 360|Xbox One,Third-Person|Shooter,7.8,07 November 2006,2006-11-07,0
336089,a2907,b2895,Global Agenda,Hi-Rez Studios,Iceberg Interactive|Hi-Rez Studios,PC,MMO|Role-Playing,7.3,1 Feb 2010,2010-02-01,Global Agenda,Hi-Rez Studios,Hi-Rez Studios,PC,Third-Person Shooter,5.8,01 February 2010,2010-02-01,1
363458,a3173,b3183,Harvest Moon: A Wonderful Life,TOSE,Natsume|Victor Interactive Software|Ubisoft|Marvelous Inc.|Marvelous|505 Game Street|SCEA,GameCube|PlayStation 2|PlayStation 4,Strategy|Management,8.5,16 Mar 2004,2004-03-16,Harvest Moon: Friends of Mineral Town,Marvelous Interactive Inc.,Natsume Co.|Ltd|Nintendo Australia Pty. Ltd,Game Boy Advance,Simulation|Role-playing,8.3,17 November 2003,2003-11-17,0
381108,a3284,b3315,Hogs of War,Infogrames|Infogrames Sheffield,Infogrames|ak tronic|Alternative Software|Zoo Digital Publishing|SCEA,PC|PlayStation,Turn-Based|Strategy,8.4,5 Sep 2000,2000-09-05,Hogs of War,Infogrames Studios|Sheffield House,Infogrames,PlayStation,Turn-Based Tactics,7.7,05 August 2000,2000-08-05,1
393237,a3466,b3467,International Superstar Soccer 64,Konami Computer Entertainment Osaka,Konami,Nintendo 64,Soccer|Sports|Team-Based|Simulation,8.2,31 Jul 1997,1997-07-31,International Superstar Soccer 64,Konami Computer Entertainment Osaka,Konami,Nintendo 64,Sports,8.0,31 July 1997,1997-07-31,1
401813,a4767,b3564,Naruto: Ultimate Ninja Heroes,Bandai,Namco Bandai Games|Bandai Namco Games|Atari SA,PSP,3D|Fighting|Action,7.9,28 Aug 2007,2007-08-28,Jump Ultimate Stars,Ganbarion,Nintendo,Nintendo DS,2D versus fighting,7.5,,,0
405001,a3655,b3623,KickBeat,Zen Studios,Zen Studios,PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Music/Rhythm,6.4,3 Sep 2013,2013-09-03,KickBeat,Zen Studios,Zen Studios,PC|PlayStation 3|PlayStation Vita,Music/Rhythm,6.4,03 September 2013,2013-09-03,1
409554,a3700,b3666,Kingdom Hearts HD 2.8 Final Chapter Prologue,Square Enix,Square Enix,PlayStation 4,Role-Playing|Action,7.5,24 Jan 2017,2017-01-24,Kingdom Hearts Final Mix,Square Enix,Square Enix,PlayStation 2|PlayStation 3|PlayStation 4,Action|Role-Playing,8.4,,,0
453515,a5621,b4027,Prince of Persia: The Sands of Time,Ubisoft Montreal|Ubisoft,Ubisoft|ak tronic|Sold Out Software,Game Boy Advance|GameCube|PC|PlayStation 2|PlayStation 3|Xbox,Adventure|Action,8.9,28 Oct 2003,2003-10-28,MANOS: The Hands of Fate,FreakZone Games,,PC,Platform,5.7,,,0
476145,a4204,b4198,Marvel vs. Capcom: Infinite,Capcom,Capcom,PC|PlayStation 4|Xbox One,2D|Fighting|Action,6.2,19 Sep 2017,2017-09-19,Marvel vs. Capcom: Infinite,Capcom,Capcom,PC|PlayStation 4|Xbox One,,6.5,19 September 2017,2017-09-19,1
500782,a4373,b4396,Meteos,Q Entertainment,Nintendo|Bandai,DS,Puzzle|Matching/Stacking,8.8,28 Jun 2005,2005-06-28,Meteos,Q Entertainment|Sora Ltd.,Bandai|Nintendo,Nintendo DS,Puzzle,8.0,27 June 2005,2005-06-27,1
502123,a3253,b4408,Hexcite Fusion,Square Enix,Square Enix,Mobile,Puzzle,,Release Unknown Date,,Metroid Fusion,Nintendo R&amp;D1,Nintendo,Android|Emulated|Game Boy Advance|Nintendo 3DS|Nintendo DS|Wii U,Action|Adventure|Shooter,8.4,17 November 2002,2002-11-17,0
543205,a4963,b4776,Need for Speed,Ghost Games,Electronic Arts,PC|PlayStation 4|Xbox One,Driving/Racing|Simulation,7.0,3 Nov 2015,2015-11-03,Need for Speed: Underground Rivals,,Electronic Arts,PSP,Racing,5.7,,,0
566672,a5295,b5016,Overclocked: A History of Violence,House of Tales,DTP Entertainment|Lighthouse Interactive|Nordic Games Publishing|ANACONDA,PC,3D|Third-Person|Adventure,7.2,7 Apr 2008,2008-04-07,Overclocked: A History of Violence,House of Tales,Lighthouse Interactive,PC,Adventure,7.1,21 April 2008,2008-04-21,1
613841,a8275,b5486,Vegas Tycoon,Deep Red,Global Star Software|Frogster Interactive|Strategy First|Empire Interactive,PC,Management|Strategy,7.3,15 Jan 2004,2004-01-15,Railroad Tycoon 3,PopTop Software,Gathering of Developers,PC,Simulation,7.0,27 October 2003,2003-10-27,0
679057,a7782,b6092,Thunder Force V,TechnoSoft,Working Designs|TechnoSoft|Twenty-one,PlayStation|Saturn,Action|2D|Shoot-'Em-Up,8.2,31 Aug 1998,1998-08-31,Shining Force III,Camelot Software Planning,Sega,Sega Saturn,Role-Playing|Tactical,8.8,August 1998,1998-08-01,0
681696,a6443,b6110,Shovel Knight,Yacht Club Games,Yacht Club Games|Nintendo|Fangamer,3DS|Amazon Fire TV|Linux|Macintosh|Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox One,2D|Platformer|Action,8.1,31 Dec 2015,2015-12-31,Shovel Knight: Plague of Shadows,Yacht Club Games,Yacht Club Games,Mac|Nintendo 3DS|Nintendo Switch|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Scrolling|Action|Platform,8.3,17 September 2015,2015-09-17,0
692063,a6550,b6201,SkyDrift,Digital Reality,Kalypso|Digital Reality,PC|PlayStation 3|Xbox 360,Driving/Racing|Arcade,7.4,6 Sep 2011,2011-09-06,SkyDrift,Digital Reality,Digital Reality,PC|Xbox 360,Action|Racing,7.1,07 September 2011,2011-09-07,1
717554,a6778,b6429,Spider-Man 2 3D: NY Rooftops,,Sony Pictures Digital Entertainment,Mobile,3D|Action|Platformer,6.4,20 Sep 2004,2004-09-20,Spider-Man 2 (PC),The Fizz Factor,Activision,PC,Action|Adventure,6.2,28 June 2004,2004-06-28,0
742262,a6920,b6548,Star Wars: Jedi Starfighter,LucasArts|Secret Level,Activision|LucasArts|Electronic Arts|Disney Interactive Studios,PlayStation 2|PlayStation 4|Xbox,Simulation,7.7,10 Mar 2002,2002-03-10,Star Wars Racer Revenge,Rainbow Studios,LucasArts,PlayStation 2|PlayStation 4,Racing,6.5,12 February 2002,2002-02-12,0
752591,a6969,b6581,Startopia,Mucky Foot Productions,Eidos Interactive|Square Enix|Sold Out Software,PC,Management|Strategy,8.6,19 Jun 2001,2001-06-19,Startopia,Mucky Foot Productions,Eidos Interactive,PC,Simulation,8.2,2001,2001-01-01,1
763580,a7049,b6652,Strike Suit Zero,Born Ready Games,Born Ready Games,Android|Linux|Macintosh|PC|PlayStation 4|Xbox One,Flight|Simulation|VR,6.9,23 Jan 2013,2013-01-23,Strike Suit Zero,Born Ready Games,Born Ready Games,PC,Flight Combat,7.0,23 January 2013,2013-01-23,1
778501,a1210,b6740,Super Mario Bros.,Nintendo,Nintendo|Playtronic|Hamster,Arcade Games|Famicom Disk System|Game Boy Advance|NES|Nintendo Switch,Platformer|2D|Action,8.9,18 Oct 1985,1985-10-18,Super Mario Bros.,Nintendo Creative Department,Nintendo,Emulated|Game Boy Advance|Game Boy Color|NES|Nintendo 3DS|PC|Super Nintendo|TurboGrafx-16|Wii|Wii U,Platform,8.2,17 November 1985,1985-11-17,1
798561,a7137,b6811,Super Metroid,Intelligent Systems,Nintendo,Super Nintendo,Adventure|Action,9.3,18 Apr 1994,1994-04-18,Super Turrican,Rainbow Arts,Imagineer,Super Nintendo,Action,7.6,,,0
850218,a5292,b7202,Over G Fighters,Taito Corporation,Ubisoft|Taito Corporation,Xbox 360,Simulation|Flight,6.4,27 Jun 2006,2006-06-27,The King of Fighters '99,SNK,SNK,Arcade|Dreamcast|Neo Geo|PlayStation,Fighting,7.2,,,0
924644,a3633,b7811,Karateka (2012),Liquid Entertainment,Karateka LLC|D3Publisher,iOS (iPhone/iPad)|PC|PlayStation 3|Wii U|Xbox 360,Action,5.9,7 Nov 2012,2012-11-07,Twisted Metal (2012),Eat Sleep Play,Sony Computer Entertainment,PlayStation 3,Car Combat,6.6,14 February 2012,2012-02-14,0
967376,a720,b8226,Bionicle Heroes,Amaze Entertainment|Traveller's Tales,Electronic Arts|Eidos Interactive,DS|Game Boy Advance|GameCube|PC|PlayStation 2|Wii|Xbox 360,3D|Action|First-Person|Shooter,6.6,14 Nov 2006,2006-11-14,World Heroes,Alpha Denshi,SNK,Neo Geo|Super Nintendo,Fighting,5.9,,,0
975358,a8729,b8287,X-Men: Mutant Academy 2,Paradox Development,Activision|Success,PlayStation,Action|3D|Fighting,8.1,17 Sep 2001,2001-09-17,X-Men: Mutant Academy 2,Paradox Development,Activision,PlayStation,Fighting,7.0,20 September 2001,2001-09-20,1
10610,a7319,b136,Tekken 3D Prime Edition,Arika,Bandai Namco Games|Namco Bandai Games,3DS,Fighting|Action|3D,6.7,14 Feb 2012,2012-02-14,Acceleration of Suguri X Edition,Rockin' Android,Sony Computer Entertainment,PC|PlayStation 3,Fighting,5.0,2012,2012-01-01,0
89767,a780,b817,Bleach: Dark Souls,Treasure,Sega|Sega Europe,DS,2D|Fighting|Action,8.6,7 Oct 2008,2008-10-07,Bleach: Dark Souls,Treasure Co. Ltd,Sega,Nintendo DS,Fighting,7.2,07 October 2008,2008-10-07,1
100171,a3025,b907,Green Lantern: Rise of the Manhunters,Griptonite Games|Warner Bros. Interactive Entertainment|Double Helix Games,Warner Bros. Interactive Entertainment,3DS|DS|iOS (iPhone/iPad)|PlayStation 3|Wii|Xbox 360,Action|Adventure,6.8,7 Jun 2011,2011-06-07,Borderlands: Game of the Year,Gearbox Software,2K Games,Mac|PC|PlayStation 3|Xbox 360,First-Person|Action|Role-Playing|Shooter,8.3,12 October 2010,2010-10-12,0
121425,a1045,b1085,Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom|Klein Computer Entertainment,Capcom,Arcade Games|Dreamcast|PlayStation,2D|Action|Fighting,7.8,14 Aug 2002,2002-08-14,Capcom vs. SNK: Millennium Fight 2000 Pro,Capcom Production Studio 1,Capcom,Arcade|Dreamcast|PlayStation,Fighting,8.0,14 August 2002,2002-08-14,1
136461,a3320,b1196,Hot Wheels Turbo Racing,Stormfront Studios,Electronic Arts,Nintendo 64|PlayStation,Driving/Racing|Arcade,8.0,31 Aug 1999,1999-08-31,Chocobo Racing,Square Product Development Division 7,JP: Square Co.|NA: Square Electronic Arts|PAL: Square Co.,PlayStation,Racing,7.0,10 August 1999,1999-08-10,0
151818,a579,b1323,Baten Kaitos Origins,Namco Bandai Games|Monolith Soft,Nintendo,GameCube,Role-Playing,8.9,25 Sep 2006,2006-09-25,Condemned: Criminal Origins,Monolith Productions,Sega,PC|Xbox 360,First-Person|Action|Survival Horror,7.5,16 November 2005,2005-11-16,0
212563,a1918,b1909,Donkey Konga 2,Namco,Nintendo,GameCube,Music/Rhythm,7.8,9 May 2005,2005-05-09,Donkey Kong Jungle Beat,Nintendo EAD Tokyo,Nintendo,Nintendo GameCube|Wii,Music/Rhythm|Platform,7.8,14 March 2005,2005-03-14,0
229714,a1967,b2003,Dragon Ball: Raging Blast,Spike,Namco Bandai Games|Bandai Namco Games,PlayStation 3|Xbox 360,Action|3D|Fighting,7.9,10 Nov 2009,2009-11-10,Dragon Ball Z: Idainaru Dragon Ball Densetsu,TOSE,Bandai,PlayStation|Sega Saturn,Action|Fighting,7.5,,,0
310847,a2653,b2662,Flower Sun and Rain,h.a.n.d. Inc.|Grasshopper Manufacture,Marvelous|Xseed Games|Rising Star Games|Victor Interactive Software,DS|PlayStation 2,3D|Third-Person|Adventure,6.3,16 Jun 2009,2009-06-16,Flower Sun and Rain,Grasshopper Manufacture|h.a.n.d. (DS version),JP: Victor Interactive|Marvelous Entertainment|NA: Xseed Games|EU: Rising Star Games,Nintendo DS,Adventure,6.7,14 November 2008,2008-11-14,1
318081,a1176,b2745,Chopper Attack (1997),Seta Corporation,GT Interactive|Midway|Seta Corporation,Nintendo 64,Action,6.8,17 Jun 1998,1998-06-17,Frogger (1997),SCE Cambridge Studio,Hasbro Interactive Inc.,PC|PlayStation,Arcade|Action,6.1,03 November 1997,1997-11-03,0
337095,a213,b2908,Alien Resurrection,Argonaut Games,Fox Interactive,PlayStation,Action|First-Person|Shooter|3D,6.5,10 Oct 2000,2000-10-10,God Eater: Resurrection,Shift,D3 Publisher of America,PC|PlayStation 4|PlayStation Vita,Action|Role-Playing,7.8,,,0
352128,a3084,b3059,Guitar Hero III: Legends of Rock,Aspyr|Neversoft Entertainment|BudCat|Vicarious Visions,Activision|Aspyr|RedOctane,Macintosh|PC|PlayStation 2|PlayStation 3|Wii|Xbox 360,Music/Rhythm,8.6,28 Oct 2007,2007-10-28,Guitar Hero II,Harmonix Music Systems,RedOctane|Activision,PlayStation 2|Xbox 360,Rhythm,8.2,07 November 2006,2006-11-07,0
365237,a3190,b3201,Hatsune Miku: Project Diva f,Sega,Sega,PlayStation 3|PlayStation Vita,Music/Rhythm,8.6,27 Aug 2013,2013-08-27,Hatsune Miku: Project DIVA Future Tone,Sega,Sega,PlayStation 4,Music/Rhythm,8.0,,,0
369374,a3234,b3242,Heretic II,Raven Software|Contraband Entertainment,Titan Computer|Activision|Mac Play|Empire Interactive,Amiga|Linux|Macintosh|PC,Shooter|Third-Person|3D|Action,8.2,31 Oct 1998,1998-10-31,Heretic II,Raven Software,Activision,PC,Action|Adventure,6.7,31 October 1998,1998-10-31,1
379897,a3282,b3296,Hitman,Io Interactive,Square Enix|Feral Interactive|Io Interactive,Linux|Macintosh|PC|PlayStation 4|Xbox One,Adventure|Action,7.2,11 Mar 2016,2016-03-11,Hitman (2016),IO Interactive,Square Enix,PC|PlayStation 4|Xbox One,Action|Adventure|Stealth,8.2,11 March 2016,2016-03-11,1
381372,a609,b3318,Battle Monsters,Scarab,Acclaim|Naxat Soft,Saturn,Action|2D|Fighting,4.1,30 Sep 1996,1996-09-30,Hollywood Monsters,Pendulo Studios,Dinamic Multimedia,PC,Adventure,7.7,,,0
398749,a3530,b3520,James Bond 007: Everything or Nothing,Griptonite Games|EA Redwood Shores,Electronic Arts|EA Games,Game Boy Advance|GameCube|PlayStation 2|Xbox,Shooter|Third-Person|3D|Action,8.5,17 Nov 2003,2003-11-17,James Bond 007: Nightfire,Eurocom|Gearbox Software,Electronic Arts,Emulated|Nintendo GameCube|PC|PlayStation 2|Xbox,First-Person|Shooter,7.4,18 November 2002,2002-11-18,0
402899,a3602,b3579,Just Cause 3,Avalanche Studios|Square Enix,Square Enix|Bandai Namco Games,PC|PlayStation 4|Xbox One,Action|Adventure,7.0,30 Nov 2015,2015-11-30,Just Cause 3,Avalanche Studios,Square Enix,PC|PlayStation 4|Xbox One,Action|Adventure,7.2,30 November 2015,2015-11-30,1
420010,a3732,b3723,Kirby's Avalanche,Compile,Nintendo,Super Nintendo,Matching/Stacking|Puzzle,7.9,February 1995,1995-02-01,Kirby's Avalanche,HAL Laboratory|Compile,Nintendo,Super Nintendo,Puzzle,7.8,25 April 1995,1995-04-25,1
420047,a3733,b3723,Kirby's Dream Course,HAL Labs,Nintendo,Super Nintendo,Sports|Golf|Arcade,8.3,February 1995,1995-02-01,Kirby's Avalanche,HAL Laboratory|Compile,Nintendo,Super Nintendo,Puzzle,7.8,25 April 1995,1995-04-25,0
445067,a3927,b3924,LittleBigPlanet 3,Sumo Digital,SCEE|SCEA|SCEI|SCE Australia,PlayStation 3|PlayStation 4,2D|Platformer|Action,7.4,18 Nov 2014,2014-11-18,LittleBigPlanet 3,Sumo Digital|XDev Europe,Sony Computer Entertainment,PlayStation 3|PlayStation 4,Platform|Puzzle,6.8,18 November 2014,2014-11-18,1
465995,a4171,b4150,Mario Party Advance,AI,Nintendo,Game Boy Advance,Party/Minigame,7.0,28 Mar 2005,2005-03-28,Mario Party 7,Hudson Soft|Nintendo SPD Group No.4,Nintendo,Nintendo GameCube,Party,6.9,07 November 2005,2005-11-07,0
500097,a4342,b4388,Metal Dungeon,Panther Software,Panther Software|Xicat Interactive,Xbox,Action|Role-Playing,4.7,15 Dec 2002,2002-12-15,Metal Slug 6,SNK Playmore,Sega|SNK Playmore,Arcade|PlayStation 2|PlayStation 4|PSP|Wii,Run and Gun,7.7,,,0
516623,a4462,b4500,Mini Ninjas,Magic Pockets|Io Interactive,Eidos Interactive|Warner Bros. Interactive Entertainment|Square Enix|Feral Interactive,DS|iOS (iPhone/iPad)|Macintosh|PC|PlayStation 3|Wii|Xbox 360,Action|Adventure,7.8,8 Sep 2009,2009-09-08,Mini Ninjas,IO Interactive|Magic Pockets,Eidos Interactive|Warner Bros. (USA),PC|PlayStation 3|Wii|Xbox 360,Action-adventure,7.2,08 September 2009,2009-09-08,1
524423,a4588,b4570,Mortal Kombat Mythologies: Sub-Zero,Avalanche Software,Midway|GT Interactive,Nintendo 64|PlayStation,Platformer|2D|Action,6.6,1 Oct 1997,1997-10-01,Mortal Kombat 4,Midway Games|Eurocom|Digital Eclipse,Midway Games,Game Boy Color|Nintendo 64|PC|PlayStation,Fighting,6.5,15 October 1997,1997-10-15,0
536037,a4764,b4721,Naruto: Ultimate Ninja 2,CyberConnect2,Bandai|Atari SA|Namco Bandai Games,PlayStation 2,Fighting|Action|3D,8.5,12 Jun 2007,2007-06-12,Naruto: Clash of Ninja Revolution,Tomy,D3 Publisher,Wii,Action|Adventure,5.3,23 October 2007,2007-10-23,0
543086,a4960,b4775,Need for Speed: Underground,Global VR|Pocketeers|Electronic Arts|Black Box|EA Black Box,Konami|Electronic Arts|EA Games|ak tronic,Arcade Games|Game Boy Advance|GameCube|PC|PlayStation 2|Xbox,Simulation|Driving/Racing,8.3,17 Nov 2003,2003-11-17,Need for Speed: Underground 2,EA Black Box|Pocketeers (GBA)|Ideaworks Game Studio (Mobile Version),EA Games,Nintendo DS|Nintendo GameCube|PC|PlayStation 2|Xbox|Xbox 360,Racing,8.3,09 November 2004,2004-11-09,0
584021,a5446,b5174,Pillars of Eternity,Obsidian Entertainment|Paradox Arctic,Paradox Interactive|Encore Software|Inc.,Linux|Macintosh|PC|PlayStation 4|Xbox One,Role-Playing,8.5,26 Mar 2015,2015-03-26,Pillars of Eternity,Obsidian Entertainment,Paradox Interactive,Linux|Mac|PC|PlayStation 4,Top-Down|Real-Time|Role-Playing,8.3,26 March 2015,2015-03-26,1
634750,a5973,b5662,Rhythm Heaven,Nintendo,Nintendo,DS,Music/Rhythm,8.2,5 Apr 2009,2009-04-05,Rhythm Tengoku,Nintendo|Sega,Nintendo,Game Boy Advance,Music,8.2,,,0
643008,a6075,b5734,Rocket: Robot on Wheels,Sucker Punch,Ubisoft,Nintendo 64,Platformer|Action|3D,8.1,31 Oct 1999,1999-10-31,Rocket: Robot on Wheels,Sucker Punch Productions,Ubisoft,Nintendo 64,Platform,7.4,17 November 1999,1999-11-17,1
664488,a6316,b5984,Serious Sam 3: BFE,Croteam,Devolver Digital|Zoo Corporation|Mastertronic,Linux|Macintosh|PC|PlayStation 3|Xbox 360,First-Person|Shooter|3D|Action,7.8,23 Apr 2011,2011-04-23,Serious Sam HD: The Second Encounter,Croteam,Devolver Digital,PC|Xbox 360,First-Person|Shooter,7.4,28 April 2010,2010-04-28,0
669476,a6681,b6013,Sonic the Hedgehog (2007),Sonic Team|Sega,Sega|Sega Europe,PlayStation 3|Xbox 360,3D|Platformer|Action,5.8,14 Nov 2006,2006-11-14,Shadow the Hedgehog,Sega Studio USA,Sega,Nintendo GameCube|PlayStation 2|Xbox,Platforming|action-adventure|third-person shooter,5.4,15 December 2005,2005-12-15,0
701300,a8237,b6304,Urban Chaos,Mucky Foot Productions,Eidos Interactive|Sold Out Software|Square Enix,Dreamcast|PC|PlayStation,Adventure|Action,7.4,30 Nov 1999,1999-11-30,Sonic Chaos,Aspect,Sega,Emulated|Nintendo GameCube|Sega Game Gear|Sega Master System,Platform,6.2,,,0
